case,body,trailer,make,model,modelyr
163,4,0,12,37,2007
163,4,0,63,33,2003
164,4,0,12,37,2010
164,15,0,20,421,2011
165,4,0,37,32,1991
166,4,0,49,32,2003
167,4,0,14,17,2008
168,3,0,49,34,1991
169,20,0,20,441,1986
170,80,0,37,705,1998
170,2,0,37,31,2003
171,20,0,6,441,2001
171,4,0,51,46,2006
172,14,0,35,402,2007
172,4,0,37,32,1997
173,14,0,63,401,2016
175,6,0,32,42,2006
175,14,0,37,401,1998
176,14,0,52,401,1995
177,84,0,76,703,2008
178,15,0,35,421,2005
178,21,0,20,461,2001
179,80,0,37,703,2007
180,34,0,20,481,1996
180,66,1,87,884,2013
181,80,0,72,706,2016
182,3,0,37,31,1996
182,84,0,98,703,2009
183,14,0,12,402,2006
184,34,0,7,482,2004
185,90,0,98,734,2014
186,80,0,76,706,2010
187,99,0,99,999,9999
188,4,0,49,32,1998
189,5,0,35,50,2014
190,4,0,35,43,2005
191,16,0,23,431,2001
192,4,0,49,40,1998
193,34,0,20,471,1996
194,4,0,12,37,2005
194,67,0,7,880,2017
195,4,0,12,23,2014
196,80,0,98,706,2016
197,34,0,12,481,2015
198,6,0,48,31,1987
198,34,1,23,472,2008
199,80,0,73,706,2005
200,4,0,49,40,1995
200,4,0,20,2,2009
201,3,0,55,42,2013
202,4,0,54,39,2013
202,4,0,37,32,2004
202,15,0,23,421,2008
203,62,0,23,881,1995
204,34,0,20,481,2004
205,4,0,18,20,1993
205,20,0,37,441,2006
206,4,0,20,22,2008
206,14,0,12,401,2015
206,4,0,49,40,2012
206,80,0,72,706,2014
206,6,0,48,45,2015
207,34,0,35,472,2005
208,80,0,73,705,2006
209,4,0,12,13,2001
211,4,0,7,20,2000
211,80,0,53,706,2011
212,80,0,76,706,2013
213,66,1,82,881,2005
214,4,0,37,32,2014
214,34,0,20,481,2009
215,6,0,12,17,1994
216,80,0,53,705,2008
217,2,0,20,9,1995
218,14,0,52,401,2002
219,34,0,7,482,2014
220,55,0,98,870,1995
221,34,0,12,471,2000
222,34,0,12,481,2000
222,4,0,20,2,2010
223,80,0,72,706,2006
223,14,0,24,401,2006
224,4,0,6,18,2012
224,4,0,35,39,2014
224,6,0,63,37,2016
224,4,0,12,23,2015
224,14,0,59,403,2013
226,14,0,20,401,1999
227,4,0,7,41,2004
227,4,0,37,31,1999
228,6,0,48,34,2002
229,34,0,20,481,2002
230,4,0,41,35,2001
231,4,0,55,33,2014
232,66,2,87,884,2017
232,4,0,48,34,1993
233,34,0,23,481,2015
234,80,0,76,705,2015
234,20,0,49,442,2001
235,4,0,22,20,2001
236,80,0,72,706,1988
236,5,0,7,25,2008
237,80,0,37,703,2009
238,62,0,84,881,2009
238,66,1,85,881,2009
239,80,0,72,706,2002
240,80,0,73,705,2007
241,80,0,76,706,2008
242,80,0,72,706,2015
242,34,0,12,481,1983
244,14,0,2,403,2015
