case,body,trailer,make,model,modelyr
175,5,0,49,46,2015
176,80,0,34,706,2010
177,6,0,2,1,2008
177,4,0,20,2,2004
177,80,0,72,706,2010
178,80,0,76,705,2011
179,80,0,37,706,2000
179,15,0,20,421,1996
180,34,0,7,482,2004
181,4,0,20,37,2018
181,14,0,49,401,2008
182,14,0,37,402,2006
183,2,0,34,36,2007
184,34,0,12,481,1996
185,4,0,35,47,2015
185,16,0,12,423,2001
186,4,0,34,35,2003
187,4,0,12,23,2014
188,80,0,73,706,2013
189,5,0,20,29,2015
190,4,0,54,32,1993
190,80,0,37,706,2015
191,6,0,20,24,2012
192,10,0,20,7,1987
193,14,0,18,402,2004
194,6,0,48,45,2005
194,4,0,32,43,2007
195,4,0,34,35,2000
195,34,0,23,481,1999
196,14,0,2,404,2002
197,5,0,49,46,2007
197,66,1,82,881,2007
198,80,0,76,706,2008
198,4,0,49,40,2012
199,80,0,72,709,1973
200,80,0,53,706,2001
200,14,0,41,403,2016
201,14,0,20,403,2004
202,4,0,49,40,2012
202,80,0,77,706,2016
202,80,0,53,706,2001
203,2,0,58,37,2008
204,14,0,34,402,2007
205,80,0,72,706,2016
205,34,0,7,482,2006
206,83,0,76,703,2008
207,34,0,35,472,2003
207,20,0,7,442,2008
207,34,0,12,481,2004
207,4,0,30,40,2010
208,14,0,2,404,2008
209,2,0,12,3,2017
210,84,0,98,703,2016
210,4,0,7,29,2014
211,4,0,37,31,2000
212,6,0,48,34,1991
213,80,0,71,706,2005
214,80,0,72,706,2009
214,14,0,48,403,2015
214,2,0,35,398,1992
215,90,0,98,734,2016
216,4,0,34,35,2008
217,34,0,35,473,2006
218,21,0,20,461,1991
219,63,0,89,890,2012
220,80,0,72,706,2017
221,34,0,20,481,2015
222,4,0,59,35,2006
222,66,1,85,881,1998
223,14,0,63,402,2013
224,4,0,20,25,2016
225,6,0,12,24,2013
225,66,1,82,881,2011
226,14,0,2,404,2016
227,14,0,32,401,2018
228,4,0,30,46,2000
228,80,0,76,705,2009
229,34,0,20,481,2002
229,66,1,87,881,2011
230,14,0,12,401,2010
231,4,0,63,31,1996
231,14,0,20,403,2004
232,4,0,35,47,2007
232,67,0,12,880,2016
233,34,0,20,481,1985
234,80,0,72,706,2009
234,4,0,41,51,2014
235,34,0,20,481,2007
236,66,1,85,881,2005
236,14,0,55,401,2011
236,4,0,49,40,2014
237,80,0,53,706,1991
237,4,0,37,31,2005
237,4,0,59,31,2005
238,14,0,12,401,1991
238,4,0,49,32,1997
238,4,0,7,20,2005
238,14,0,49,401,2017
238,14,0,55,402,2018
239,4,0,35,47,2008
240,4,0,54,31,1996
241,14,0,23,401,1995
242,80,0,53,705,2009
242,80,0,53,706,2009
242,14,0,18,404,2018
242,67,0,12,880,2009
243,15,0,12,422,2003
243,63,0,85,881,2003
244,15,0,49,422,2002
245,80,0,73,705,2017
245,21,0,12,462,2015
246,34,0,35,472,2005
247,34,0,20,471,1994
247,80,0,77,706,2006
248,14,1,35,402,2007
249,80,0,37,705,2003
250,4,0,20,2,2012
251,66,1,87,884,2014
251,80,0,53,706,2000
252,80,0,37,706,2012
252,6,0,49,49,2008
253,4,0,20,25,2016
253,4,0,41,51,2005
254,80,0,72,706,2004
255,14,0,2,404,1999
256,14,0,63,402,2011
256,4,0,12,17,2006
257,34,0,12,471,1999
258,4,0,37,31,2012
258,34,0,12,481,2000
259,4,0,35,39,1987
260,4,0,41,49,2007
261,80,0,72,706,2014
261,15,0,23,421,2001
262,80,0,73,705,2007
263,80,0,76,706,2017
264,34,0,12,471,2010
264,34,0,20,482,2002
264,66,1,87,884,2007
265,34,0,7,482,2003
266,3,0,49,34,1985
267,4,0,54,35,2004
268,14,0,36,402,2016
269,34,0,7,472,1989
270,6,0,6,52,2006
271,4,0,37,31,1994
272,4,0,12,17,1997
273,34,0,20,481,1986
274,15,0,37,421,2008
274,4,0,54,35,2003
275,80,0,72,706,2012
276,20,0,7,442,2003
276,14,0,49,402,2018
277,4,0,20,2,2014
277,61,0,20,881,2008
277,14,0,55,404,2018
277,14,0,49,403,2013
278,15,0,12,422,1999
279,80,0,37,705,2016
280,2,0,35,48,2004
281,3,0,30,47,1999
282,80,0,72,706,2015
283,3,0,12,37,2003
284,34,0,20,481,2000
284,4,0,12,37,2002
284,4,0,48,34,2008
284,4,0,49,45,2001
284,4,0,54,35,2006
285,4,0,19,18,2004
285,6,0,7,27,2015
286,34,0,20,481,2000
287,4,0,41,51,2011
288,4,0,30,46,2000
289,4,0,20,37,2004
290,6,0,48,45,2013
290,14,0,2,404,1996
290,34,0,7,482,2016
290,4,0,49,40,1997
291,80,0,37,706,1994
292,14,0,35,402,2002
292,4,0,30,46,2003
292,4,0,30,40,2013
292,4,0,55,33,2011
293,34,0,41,471,1998
293,14,0,49,402,2016
293,4,0,55,33,2015
293,6,0,51,43,1998
295,14,0,12,401,2000
296,2,0,22,9,1967
297,14,0,41,402,2001
297,34,0,49,482,2005
298,99,0,99,999,9999
298,4,0,12,37,2000
299,80,0,37,705,2013
299,20,0,37,441,2002
301,34,0,7,482,2014
301,80,0,72,706,2016
301,80,0,72,706,2015
302,14,0,2,405,2005
302,63,0,82,881,2005
303,2,0,12,3,2004
303,2,0,37,31,2001
304,34,0,49,472,2003
305,80,0,98,706,2016
306,80,0,76,706,2007
307,15,0,20,421,2016
307,6,0,2,1,2012
307,4,0,49,32,2015
307,4,0,19,3,2002
308,20,0,6,441,2013
309,4,0,54,35,2003
310,14,0,49,401,1995
311,65,1,98,850,2007
312,99,0,99,999,9999
313,34,0,12,481,2005
314,4,0,37,31,2014
314,4,0,37,32,1993
315,4,0,63,33,2006
316,84,0,98,703,2012
317,4,0,35,43,2017
317,80,0,53,706,2006
318,2,0,20,16,2000
319,34,0,49,472,2015
319,81,0,37,701,1986
320,4,0,12,21,2005
320,80,0,72,706,2010
321,80,0,37,706,2005
321,5,0,49,46,2010
322,80,0,72,706,2013
323,34,0,7,482,2014
323,4,0,20,20,1991
324,20,0,12,443,2005
325,80,0,73,706,2008
325,4,0,37,31,2008
326,4,0,14,6,1997
326,6,0,49,46,2015
326,34,0,12,481,1991
326,4,0,59,31,2011
327,4,0,20,22,2005
327,4,0,55,33,2016
327,20,0,12,444,2013
327,14,1,35,402,2013
328,14,0,37,402,2008
328,63,1,85,881,2013
329,80,0,71,706,2010
330,14,0,23,401,2004
330,61,0,12,881,2009
330,34,0,12,481,1974
331,4,0,52,34,2006
331,3,0,52,37,2000
332,21,0,23,461,2004
332,66,1,85,881,2018
333,4,0,49,32,2011
334,1,0,41,45,2018
335,66,1,85,881,2017
336,14,0,49,402,2013
336,6,0,48,45,2017
337,14,0,20,404,2015
338,15,0,12,422,2003
338,4,0,35,50,2012
339,63,0,87,881,1985
339,34,1,23,481,1985
340,3,0,37,31,2000
340,66,2,82,881,2015
341,6,0,48,34,1999
343,4,0,52,34,2005
344,5,0,49,46,2010
345,3,0,49,34,1984
345,34,0,7,482,2005
346,80,0,76,706,2005
347,4,0,32,42,2001
348,14,0,12,401,1992
348,80,0,99,709,9999
349,4,0,37,31,1998
349,4,0,35,47,2005
350,6,0,48,34,2002
350,34,1,12,481,1993
351,34,0,35,473,2004
352,15,0,12,422,1998
353,4,0,30,40,2006
354,63,0,87,881,2015
355,15,0,23,422,2010
356,4,0,20,25,2013
356,4,0,7,20,2001
357,6,0,49,49,2008
358,4,0,37,31,2003
358,4,0,49,40,2009
359,4,0,37,32,2001
359,14,0,2,404,2018
361,4,0,59,32,1996
361,4,0,55,33,2013
362,80,0,76,706,2013
362,14,0,55,402,2016
363,4,0,55,35,2010
363,34,0,7,482,2017
364,14,0,18,402,2004
364,5,0,37,39,2009
365,34,0,49,482,2000
366,4,0,49,32,1989
367,4,0,41,51,2008
368,66,1,51,881,2015
368,5,0,52,47,2015
368,5,0,49,46,2010
369,14,0,49,402,2013
369,80,0,76,706,2016
370,34,0,12,481,2017
371,34,0,49,472,2012
371,34,0,7,482,2017
372,34,0,12,471,2006
374,34,0,12,481,1980
375,40,0,49,472,1996
376,99,0,99,999,9999
377,4,0,55,35,2001
378,80,0,53,706,2003
379,14,0,49,402,2013
379,34,0,23,471,1993
380,6,0,48,45,2009
380,4,0,59,31,2000
381,14,0,52,402,2005
382,4,0,12,23,2012
383,4,0,37,32,1996
383,4,0,7,26,2013
384,67,0,12,880,2008
384,4,0,63,34,2008
385,80,0,76,709,2000
386,4,0,37,32,2012
386,80,0,73,705,2008
387,6,0,52,47,2018
388,34,0,20,481,2003
388,4,0,7,24,2013
389,34,0,7,482,1997
390,34,0,7,482,2003
390,4,0,37,31,2016
391,2,0,37,31,2003
392,21,1,12,461,1998
393,4,0,34,34,2010
394,80,0,37,706,2004
395,14,0,12,402,2005
396,4,0,20,25,2013
397,34,0,20,481,1998
398,80,0,37,706,2007
399,99,0,99,999,9999
400,14,0,2,403,1998
402,4,0,55,33,2005
402,4,0,37,31,1993
403,14,0,63,402,2008
403,4,0,37,31,1999
404,80,0,72,706,2009
405,2,0,37,31,2004
405,34,0,12,481,1992
406,4,0,63,38,2011
407,34,0,12,481,2014
407,15,0,23,421,2005
408,14,0,48,402,2009
408,4,0,49,32,2016
408,6,0,48,34,1997
408,2,0,49,38,1992
408,34,0,7,482,2007
409,80,0,72,706,2012
409,99,0,99,999,9999
409,99,0,99,999,9999
409,66,1,84,884,2018
410,80,0,72,706,2009
410,2,0,21,1,1975
411,34,0,49,482,2016
412,14,0,7,402,2001
413,14,0,35,402,2001
413,14,0,12,401,2002
413,14,0,2,404,2017
413,5,0,30,42,2017
414,14,0,12,401,2015
414,80,0,72,706,2019
415,34,0,12,471,1993
416,4,0,12,17,2003
417,4,0,37,32,2005
418,66,1,82,881,2003
418,14,0,12,402,2006
419,55,0,12,870,2017
420,14,0,12,402,2007
420,20,0,49,442,2000
420,80,0,72,706,2018
421,34,0,7,481,1987
422,14,0,12,401,2003
423,80,0,53,706,2004
423,4,0,37,31,1999
425,14,0,55,401,2008
426,14,0,35,401,1995
427,14,0,59,403,2008
428,14,0,53,405,2003
429,14,0,12,401,1997
430,61,0,12,870,1998
431,4,0,7,24,2007
432,14,0,35,401,2001
433,34,0,12,481,2008
433,4,0,12,17,2008
433,5,0,49,46,2013
434,5,0,49,46,2007
435,4,0,24,5,2003
435,4,0,37,31,2012
435,34,0,35,472,2014
435,14,0,49,403,2007
436,4,0,37,31,2003
437,6,0,24,3,2001
437,67,0,12,880,2018
438,4,0,35,43,2006
438,34,0,7,482,2007
438,34,0,12,481,2015
439,4,0,30,40,1998
440,14,0,59,403,2010
441,34,0,12,481,2004
442,34,0,7,482,2004
443,3,0,30,42,2001
444,3,0,37,31,1994
444,66,1,51,881,2008
445,4,0,63,34,2006
445,4,0,49,40,1988
446,4,0,42,48,2006
446,34,0,20,481,2006
447,34,0,20,481,2005
447,4,0,49,40,1998
448,4,0,7,41,2001
448,14,0,12,402,2007
449,14,0,59,403,2004
450,15,0,13,421,1999
451,67,0,7,880,2006
452,4,0,35,47,2007
453,66,1,82,881,2012
453,34,0,35,471,1993
453,14,0,12,402,2009
454,34,0,35,481,2008
455,4,0,37,31,2007
455,2,0,20,9,2011
455,4,0,37,32,1990
456,34,0,49,471,1989
456,4,0,55,35,2005
457,66,2,82,881,2008
460,4,0,63,33,2004
460,34,0,12,481,2013
461,2,0,49,38,1997
461,34,0,7,482,2001
462,14,0,2,404,1999
463,2,0,37,31,1995
463,14,0,12,401,1997
464,20,0,9,442,1999
465,2,0,58,37,2011
466,34,0,49,472,1998
466,34,0,7,482,2007
466,15,0,23,422,2011
467,14,0,12,402,2003
468,66,1,82,881,2015
468,66,1,51,881,2018
469,4,0,37,31,1994
470,15,1,12,422,1999
471,20,0,7,442,2002
471,14,0,48,403,2016
471,67,0,12,880,2001
472,99,0,99,999,9999
473,34,0,12,481,1998
474,34,0,20,481,2002
475,6,0,48,34,2001
476,20,0,6,441,2003
477,62,0,84,881,2014
478,4,0,12,17,2006
478,66,1,51,881,2017
479,63,0,98,804,2000
480,14,0,2,404,1999
480,20,0,37,441,2008
481,67,0,7,880,2014
482,4,0,59,35,2002
482,4,0,18,20,1999
483,6,0,30,40,2005
483,4,0,37,31,2017
483,14,0,49,402,2014
485,67,0,12,880,2018
486,14,0,51,401,2017
487,14,0,20,403,2004
488,20,0,49,442,1999
489,4,0,18,7,1989
490,21,0,20,461,2013
490,4,0,49,51,2008
490,15,0,54,421,2001
491,4,0,7,20,2003
492,3,0,54,31,2001
493,4,0,30,40,2014
494,2,0,37,31,2017
495,14,0,49,404,2008
496,14,0,2,404,1998
497,4,0,20,37,2014
498,2,0,37,32,1994
500,99,0,99,999,9999
501,34,0,12,481,1966
502,3,0,47,31,1993
503,4,0,6,18,2013
504,4,0,7,20,2004
505,4,0,41,51,2012
505,34,0,23,481,2008
505,14,0,23,402,2014
505,14,0,55,401,2004
505,14,0,48,401,2004
506,4,0,30,46,2007
507,14,0,2,404,1998
1,34,0,12,481,2008
2,66,1,51,881,2012
2,6,0,20,24,2011
3,4,0,30,40,2002
3,34,0,20,481,2007
4,4,0,35,47,2004
5,80,0,76,705,2007
6,4,0,63,34,2015
7,14,0,35,402,2002
8,62,0,12,881,2016
9,3,0,52,37,2002
9,5,0,49,46,2010
9,34,0,49,472,2012
10,34,0,35,473,2004
11,99,0,99,999,9999
12,4,0,39,39,2017
12,5,0,20,39,2008
13,14,0,48,401,2010
14,4,0,12,37,2005
15,6,0,12,17,1999
16,4,0,12,23,2007
17,63,1,82,881,2011
17,66,1,51,881,9999
17,66,1,82,881,2019
17,66,1,51,881,2010
17,34,0,12,481,2000
18,4,0,24,1,1996
18,66,1,85,881,2008
19,14,0,2,403,2000
20,5,0,35,50,2016
20,63,0,87,882,2013
21,14,0,2,403,2002
22,20,0,7,442,1999
22,66,1,84,884,1997
23,4,0,37,32,1998
23,34,0,7,482,2002
23,6,0,52,47,2013
23,4,0,30,40,2004
24,80,0,72,706,2014
25,14,0,59,403,2004
26,34,0,12,481,1986
27,66,2,87,881,2000
27,6,0,35,51,2015
28,34,0,12,471,1998
29,4,0,54,35,2000
30,4,0,35,39,2012
30,66,2,85,881,1999
31,34,0,12,471,2009
31,3,0,20,34,1989
31,3,0,49,33,1992
32,6,0,48,34,1998
32,99,0,55,999,2001
33,5,0,48,38,2004
33,6,0,24,10,2007
33,66,1,85,881,2018
34,66,1,99,884,9999
35,66,2,85,881,1994
35,4,0,49,40,2015
36,67,0,20,880,2010
36,34,0,12,481,2015
37,4,0,22,22,2008
38,34,0,49,482,2004
39,4,0,6,43,2004
39,15,0,2,422,2014
39,2,0,12,3,2010
39,4,0,35,47,2013
39,4,0,35,43,2019
39,34,0,20,481,2018
39,34,0,7,482,2013
41,4,0,18,3,1997
42,6,0,12,37,2006
44,34,0,12,481,1999
45,14,0,48,401,2003
45,6,1,7,21,2005
45,49,0,99,999,9999
45,2,0,24,2,2001
46,20,0,49,442,2002
46,66,1,51,881,2011
47,15,0,42,421,2014
48,4,0,35,47,2014
48,14,0,48,401,2000
49,4,0,51,47,2004
49,15,0,20,421,2003
49,4,0,48,38,2007
50,14,0,12,402,2017
50,6,0,20,24,2011
51,34,0,12,481,2017
52,34,0,12,481,2008
53,14,0,48,401,2003
54,34,0,7,482,1999
55,20,0,37,441,2014
55,4,0,37,31,2001
56,14,0,48,403,2019
56,66,1,82,881,2015
57,4,0,20,2,2001
57,34,0,7,482,2016
58,14,0,18,405,2017
58,66,1,87,881,1997
59,80,0,72,706,2008
59,34,0,49,472,2002
60,4,0,7,41,2001
60,66,1,82,881,2015
60,66,0,99,884,9999
61,34,0,12,471,1999
62,14,0,48,401,2015
62,63,0,84,881,2005
63,4,0,58,37,2007
64,66,1,85,881,2016
65,66,1,82,881,2007
65,4,0,41,51,2008
65,15,0,54,421,2004
65,20,0,7,442,2014
65,6,0,48,45,2017
65,14,0,20,404,2017
66,2,0,19,3,1969
66,52,0,98,988,2011
67,80,0,72,706,2000
68,14,0,20,401,2003
69,6,0,49,46,2015
70,6,0,48,38,2007
70,4,0,49,32,2013
71,14,0,2,403,1998
72,99,0,99,999,9999
73,4,0,58,37,2008
73,34,0,12,481,2002
73,4,0,20,2,2001
73,4,0,37,31,2012
74,4,0,63,34,2008
75,4,0,32,43,2008
75,20,0,7,442,2005
76,19,0,99,499,9999
77,66,1,87,884,2000
78,66,1,82,881,2006
79,34,0,20,471,1991
79,4,0,41,50,2007
79,14,0,2,408,2017
80,34,0,20,481,2004
80,80,0,73,706,2001
81,14,0,63,402,2013
82,2,0,37,32,1991
83,2,0,54,37,2001
84,80,0,72,706,2002
85,14,0,20,401,1994
86,34,0,23,471,1997
87,52,0,98,988,2019
87,4,0,48,34,1999
88,80,0,37,705,2018
89,14,0,12,401,1998
90,4,0,12,16,2004
91,4,0,55,33,2000
91,67,0,12,880,2016
92,4,0,9,20,1996
93,80,0,76,705,2001
94,14,0,20,404,2017
95,14,0,20,404,2015
95,80,0,76,705,2017
96,2,0,37,31,2003
97,34,0,12,481,1984
97,34,0,7,482,2012
98,80,0,73,705,2007
99,49,0,99,999,9999
99,4,0,49,40,2014
99,4,0,7,29,2013
99,34,0,12,481,1999
100,80,0,72,706,2006
100,4,0,55,35,2008
101,20,0,9,442,1998
102,34,0,7,482,2014
103,14,0,34,402,2014
104,4,0,63,31,1999
104,2,0,34,39,1998
105,4,0,54,35,2013
105,6,0,48,34,1994
106,2,0,58,31,1991
106,4,0,41,35,1998
107,4,0,12,37,2005
107,4,0,30,40,2003
108,2,0,12,3,2010
108,6,0,6,52,2002
109,4,0,63,34,2013
109,34,0,20,481,2013
109,6,0,6,52,2004
109,4,0,9,20,2001
110,20,0,49,442,2012
111,4,0,35,47,2018
112,61,0,23,881,2008
112,16,0,20,431,2003
112,14,0,55,404,2018
112,14,0,12,402,2010
113,34,0,7,482,1997
113,66,1,87,884,2014
113,6,0,49,46,2017
114,4,0,99,399,9999
115,67,1,7,880,2016
115,80,0,53,705,2003
116,2,0,37,32,1997
117,4,0,37,32,2002
117,4,0,49,40,2012
117,4,0,37,31,2014
118,4,0,35,47,2019
119,80,0,72,706,2016
120,4,0,41,51,2004
120,80,0,76,705,2004
121,14,0,12,402,2008
121,34,0,12,481,2005
122,34,0,20,482,2005
122,34,0,20,481,2001
123,4,0,54,35,2003
124,80,0,76,706,2014
124,63,0,85,881,2004
125,80,0,37,705,2015
126,34,0,20,481,2008
127,3,0,20,34,1995
127,4,0,12,37,2009
128,2,0,34,34,1999
128,4,0,32,44,2007
129,2,0,49,38,1991
130,62,0,82,881,2017
130,20,0,20,441,2005
130,2,0,20,9,1993
130,14,0,12,402,2009
130,4,0,63,32,2009
130,4,0,52,34,2012
130,4,0,24,1,1995
131,2,0,20,36,2003
132,2,0,12,3,1996
133,15,0,7,422,2007
133,66,1,82,881,2011
134,19,0,99,499,9999
135,4,0,35,47,1997
135,6,0,35,49,2015
136,14,0,37,402,2018
136,66,1,82,881,2010
136,14,0,20,401,1997
137,6,0,48,45,2008
138,4,0,21,21,2000
138,80,0,73,706,1997
139,4,0,32,51,2013
139,80,0,53,706,2005
140,4,0,22,22,2007
140,15,0,49,422,2006
141,4,0,99,399,9999
142,34,0,12,481,1998
143,4,0,35,43,2000
144,80,0,72,706,2002
144,34,1,20,481,2018
145,14,0,37,402,2001
146,6,0,12,37,2002
147,80,0,72,706,2007
148,4,0,41,50,2018
149,4,0,18,22,2009
149,15,0,20,421,2011
150,15,0,2,422,2015
150,15,0,23,421,2002
151,34,0,7,482,2010
152,99,0,99,999,9999
153,34,0,7,482,2011
154,34,1,23,481,2001
154,80,0,72,706,2007
155,80,0,37,705,2006
155,5,0,37,39,2019
156,80,0,73,705,2014
157,4,0,6,51,2005
158,34,0,7,482,2010
158,4,0,34,35,2008
159,4,0,30,40,1998
160,91,0,98,998,1998
161,4,0,37,32,1998
162,80,0,71,706,2017
162,14,0,49,401,2017
163,80,0,72,706,2006
164,66,1,87,881,1999
164,4,0,49,40,2019
164,21,0,20,461,2007
164,80,0,34,706,2012
164,80,0,98,706,2016
164,14,0,12,401,2013
164,67,0,12,880,2011
165,34,0,49,472,2016
165,2,0,14,4,1995
166,4,0,49,40,2018
168,2,0,14,4,1996
169,34,0,12,473,2002
170,80,0,98,706,2017
170,6,0,55,35,2009
171,14,0,2,404,1994
171,63,0,86,881,2019
172,6,0,12,37,2003
172,14,0,41,402,2001
173,63,0,85,881,2008
173,80,0,76,706,2012
174,34,0,7,472,1995
174,4,0,20,25,2015
175,34,0,7,482,2004
176,34,1,20,481,2005
177,80,0,72,706,2013
177,66,1,85,881,2016
178,63,1,85,881,2006
178,34,0,7,482,2014
179,4,0,18,18,1994
179,80,0,53,706,2012
180,14,0,2,404,2002
181,20,0,20,441,1993
182,80,0,72,706,2008
182,80,0,72,706,2015
183,4,0,18,2,2002
183,15,0,54,421,2014
184,14,0,2,404,2007
184,63,1,86,881,2000
185,34,0,12,481,1993
185,14,0,49,401,1999
186,52,0,98,988,2018
187,80,0,76,706,2006
188,4,0,30,40,2002
189,14,0,12,401,1993
190,4,0,49,32,2006
190,34,0,20,481,2000
190,14,0,49,401,2004
191,80,0,37,706,2006
192,2,0,35,48,2007
193,1,0,30,47,2016
193,6,0,35,49,2018
193,66,1,85,881,2013
194,34,0,12,481,2002
194,20,0,37,441,2002
194,2,0,20,36,2004
194,34,1,20,481,2016
195,34,0,7,482,1998
196,14,0,2,404,2005
197,34,0,12,481,2004
198,2,0,12,3,2000
198,34,0,49,482,2003
199,4,0,49,40,2011
199,34,0,12,481,2001
200,15,0,12,422,1997
201,80,0,72,706,2016
202,14,0,2,403,2009
202,14,0,2,404,2011
203,5,0,49,46,2013
204,4,0,35,47,2015
204,14,0,12,401,2014
205,4,0,35,39,2000
206,34,0,20,481,2001
206,14,1,37,402,2004
206,66,2,84,884,2019
207,67,0,12,880,2015
207,4,0,37,32,1999
208,34,0,7,482,2004
209,14,0,55,401,2003
210,80,0,72,706,2012
211,80,0,53,705,2006
211,15,0,20,421,2012
212,4,0,49,32,2012
213,6,0,63,37,2014
213,34,0,7,482,2010
214,20,0,12,443,2005
215,80,0,72,706,2003
216,1,0,52,37,2001
216,4,0,48,34,2000
217,4,0,35,47,2018
217,14,0,37,402,2009
217,4,0,41,35,2002
217,4,0,49,32,2005
218,34,0,12,471,2000
219,4,0,20,25,2012
219,5,0,37,39,2008
220,2,0,37,32,2004
220,4,0,24,7,2003
223,34,0,7,482,2004
223,80,0,53,704,2005
223,14,0,49,403,2012
224,80,0,98,706,2008
224,14,0,20,404,2007
225,80,0,37,705,1983
226,4,0,39,36,2004
227,80,0,72,706,2010
227,65,0,20,850,1984
228,80,0,72,706,2014
229,4,0,49,40,2011
230,80,0,37,705,2003
230,6,0,48,45,2006
231,34,0,20,481,2002
231,4,0,14,6,2005
231,14,0,20,402,2001
234,3,0,30,47,2000
234,66,1,82,881,2009
235,34,0,49,471,1992
236,4,0,49,40,2006
236,14,0,59,403,2011
237,5,0,12,32,2014
237,14,0,23,401,2002
238,34,0,7,472,2007
238,4,0,49,40,1989
239,66,1,85,881,2014
240,4,0,48,38,2008
241,80,0,73,706,2013
242,14,0,2,404,1999
243,4,0,42,43,2000
243,66,1,51,881,2015
244,61,0,7,881,2018
244,21,0,12,462,2016
245,34,0,49,472,2016
246,34,0,12,471,9999
247,80,0,71,706,2018
248,61,0,12,870,2019
249,4,0,42,31,1992
249,66,2,85,881,2018
250,14,0,63,401,2002
251,83,0,53,703,2004
252,80,0,72,706,2014
253,14,0,55,402,2005
254,4,0,34,34,2001
254,55,0,12,870,2019
255,80,0,53,705,2006
256,4,0,22,18,1996
257,90,0,53,734,2018
258,80,0,73,706,2017
258,80,0,73,705,2008
258,14,0,34,401,2005
259,4,0,37,31,2011
260,80,0,34,706,1996
261,80,0,76,705,1992
262,34,0,49,471,1979
263,34,0,49,472,2015
263,4,0,12,37,2001
264,34,0,20,471,1984
264,83,0,98,703,2008
265,14,0,18,401,2004
265,5,0,41,51,2010
266,4,0,55,35,2013
266,80,0,76,705,2007
267,20,0,12,442,2002
267,80,0,53,705,2005
267,4,0,12,37,2017
268,80,0,72,706,2004
268,4,0,37,32,2014
269,4,0,49,40,2010
269,80,0,37,703,2012
269,34,0,35,472,2008
269,34,0,12,471,2003
269,14,0,49,402,2019
270,4,0,49,40,2002
271,80,0,72,706,2019
271,80,0,37,706,2005
272,80,0,37,705,2015
272,4,0,34,34,2002
273,4,0,14,20,2006
273,34,0,20,481,2018
273,21,1,12,461,2006
274,34,0,7,482,2012
274,89,0,37,706,1983
275,2,0,35,32,1995
276,34,0,12,471,2000
277,14,0,48,401,1998
278,5,0,49,46,2013
278,61,0,38,882,2005
279,34,0,49,472,2016
280,80,0,50,706,2017
281,5,0,49,51,2012
282,15,0,20,422,2004
282,6,0,35,51,2018
283,4,0,20,37,2002
284,34,0,12,481,2000
285,34,0,12,481,1998
285,62,0,12,881,2000
285,14,0,49,402,2019
286,4,0,34,34,1991
287,15,0,49,422,2005
287,63,0,84,881,2009
288,14,0,34,402,2006
289,80,0,72,706,2004
289,14,0,49,402,2017
290,34,0,7,482,2006
291,14,0,12,402,2008
291,80,0,72,706,2010
292,5,0,49,46,2005
293,14,0,2,404,1995
295,4,0,41,51,9999
295,14,0,49,403,9999
296,4,0,49,40,2011
296,4,0,37,32,2004
297,34,0,12,481,1998
298,4,0,20,22,2009
298,34,0,49,482,2017
299,80,0,72,706,2018
300,4,0,59,32,1992
300,80,0,98,706,2019
300,67,0,12,880,2017
300,14,0,2,407,2012
301,14,0,49,402,2015
302,80,0,37,706,2004
302,34,0,12,481,2016
303,3,0,35,48,2006
304,34,0,7,472,2008
305,87,0,72,706,2015
306,4,0,19,3,1995
306,2,0,34,47,2015
307,34,0,20,481,2017
307,80,0,73,705,2008
308,80,0,73,703,2014
308,34,0,20,471,2003
308,4,0,35,43,2004
308,34,0,7,482,2002
309,4,0,24,7,2007
309,5,0,12,27,2013
310,5,0,37,39,2007
310,6,0,6,52,2007
311,34,0,12,473,2001
312,34,0,20,481,1987
312,67,1,7,880,2017
313,80,0,98,709,2012
313,6,0,63,37,2015
314,20,0,20,441,1996
315,14,0,12,402,2013
316,34,0,7,472,2003
317,14,0,55,401,2019
317,14,0,2,403,2017
318,20,0,9,442,1999
319,4,0,12,23,2013
319,61,0,23,898,1980
320,80,0,98,709,2019
320,73,0,98,850,1987
321,80,0,53,706,2004
321,2,0,20,16,2002
322,20,0,7,442,2000
322,14,0,49,404,2007
323,4,0,19,23,2017
324,66,1,99,884,9999
325,34,0,41,471,2000
326,99,0,99,999,9999
327,34,0,7,482,1994
327,20,0,6,441,2014
327,4,0,42,48,2019
327,4,0,52,46,2015
328,3,0,55,36,2008
328,5,0,12,37,2012
329,14,0,12,401,1993
330,80,0,50,705,2012
331,4,0,12,23,2007
332,34,1,7,482,2017
333,4,0,54,36,2006
333,80,0,53,706,2007
334,99,0,99,999,9999
335,80,0,73,705,2017
335,4,0,37,31,2012
336,6,0,48,38,2007
337,96,0,98,734,2018
338,6,0,48,34,1999
338,34,0,35,498,1991
339,34,0,35,472,2000
339,66,1,85,881,1999
340,14,0,20,401,1995
341,3,0,37,31,1994
341,4,0,7,29,2015
342,20,0,49,442,2008
343,67,1,12,880,2016
343,4,0,37,31,2001
345,3,0,35,48,2004
346,14,0,35,401,1995
347,80,0,98,706,2019
348,80,0,37,706,2003
348,50,0,82,981,2013
349,34,0,20,481,2001
349,2,0,49,42,1992
350,5,0,12,32,2011
350,66,1,85,881,2017
350,34,0,12,481,2016
350,66,1,87,881,2016
351,34,0,23,472,2007
351,4,0,20,37,2012
352,80,0,76,705,2014
352,61,0,12,881,2015
353,34,0,12,481,2001
354,66,2,82,881,1998
