case,age,sex,hispanic,race1,race2,race3,race4,race5,zip,licstate,drhgt_in,weight,noncdl,noncdltype,x,y
42,52,2,0.0,,,,,,98023.0,53,65.0,200.0,6.0,1.0,47.311491,-122.36281
43,48,1,0.0,,,,,,99301.0,53,66.0,170.0,0.0,0.0,46.379233,-118.953781
43,37,1,0.0,,,,,,98948.0,53,72.0,210.0,6.0,1.0,46.297854,-120.312566
44,18,1,7.0,,,,,,98908.0,53,69.0,190.0,6.0,1.0,46.615206,-120.724113
44,46,2,0.0,,,,,,98937.0,53,69.0,130.0,6.0,1.0,46.792772,-121.226151
45,20,1,7.0,,,,,,99223.0,53,69.0,150.0,6.0,1.0,47.589407,-117.344623
45,57,1,0.0,,,,,,83544.0,16,72.0,210.0,6.0,1.0,46.490865,-116.151469
46,27,1,7.0,,,,,,98606.0,53,72.0,155.0,1.0,1.0,45.729741,-122.456373
47,62,1,7.0,,,,,,98649.0,53,75.0,242.0,6.0,1.0,46.314143,-122.5346
47,45,1,0.0,,,,,,98683.0,53,74.0,225.0,6.0,1.0,45.603287,-122.51017
48,52,1,0.0,,,,,,98043.0,53,74.0,195.0,6.0,1.0,47.791111,-122.30779
49,45,1,0.0,,,,,,98144.0,53,64.0,160.0,6.0,1.0,47.585627,-122.29196
50,999,9,0.0,,,,,,99999.0,99,,999.0,9.0,9.0,,
51,24,1,7.0,,,,,,98908.0,53,71.0,195.0,6.0,1.0,46.615206,-120.724113
52,42,1,7.0,,,,,,98926.0,53,73.0,200.0,6.0,1.0,47.014195,-120.458691
53,74,1,0.0,,,,,,99218.0,53,73.0,175.0,6.0,1.0,47.758924,-117.409388
54,53,1,7.0,,,,,,98059.0,53,72.0,280.0,6.0,1.0,47.499429,-122.110157
55,63,1,1.0,,,,,,99357.0,53,62.0,165.0,6.0,1.0,46.89131,-119.661625
56,998,9,0.0,,,,,,99999.0,98,,999.0,9.0,9.0,,
56,39,1,0.0,,,,,,98031.0,53,65.0,180.0,6.0,1.0,47.405479,-122.195772
57,45,1,7.0,,,,,,98374.0,53,71.0,200.0,6.0,1.0,47.12908,-122.263923
57,57,1,0.0,,,,,,98335.0,53,72.0,225.0,6.0,1.0,47.296947,-122.623661
57,57,2,0.0,,,,,,98092.0,53,73.0,170.0,1.0,1.0,47.287074,-122.113839
58,75,1,7.0,,,,,,98857.0,53,71.0,200.0,6.0,1.0,46.982733,-119.057609
58,60,1,0.0,,,,,,98857.0,53,73.0,328.0,6.0,1.0,46.982733,-119.057609
59,26,2,0.0,,,,,,98357.0,53,65.0,119.0,6.0,1.0,48.333855,-124.635404
60,26,1,7.0,,,,,,98008.0,53,68.0,165.0,6.0,1.0,47.605797,-122.099118
60,42,1,0.0,,,,,,98273.0,53,74.0,240.0,6.0,1.0,48.402754,-122.376148
61,69,1,0.0,,,,,,98118.0,53,75.0,217.0,6.0,1.0,47.540246,-122.268545
62,53,1,7.0,,,,,,98520.0,53,70.0,190.0,0.0,0.0,47.205638,-123.754329
63,27,1,7.0,,,,,,83815.0,16,67.0,140.0,1.0,1.0,47.726282,-116.789948
63,67,2,0.0,,,,,,99206.0,53,63.0,150.0,6.0,1.0,47.629296,-117.254657
64,18,1,0.0,,,,,,98513.0,53,66.0,140.0,6.0,1.0,46.97703,-122.733942
64,69,2,7.0,,,,,,98513.0,53,68.0,200.0,6.0,1.0,46.97703,-122.733942
65,30,1,0.0,,,,,,98036.0,53,68.0,185.0,1.0,1.0,47.809708,-122.280394
66,30,2,0.0,,,,,,98247.0,53,60.0,126.0,6.0,1.0,48.911829,-122.330175
66,68,1,7.0,,,,,,98264.0,53,73.0,230.0,6.0,1.0,48.950253,-122.459792
67,35,2,0.0,,,,,,98661.0,53,64.0,110.0,1.0,1.0,45.640067,-122.625018
68,64,1,7.0,,,,,,84092.0,49,73.0,231.0,1.0,1.0,40.554151,-111.706264
69,20,1,7.0,,,,,,98034.0,53,71.0,145.0,6.0,1.0,47.715769,-122.213748
70,999,9,0.0,,,,,,99999.0,99,,999.0,9.0,9.0,,
71,32,1,7.0,,,,,,98122.0,53,74.0,230.0,1.0,1.0,47.611046,-122.293207
72,60,1,0.0,,,,,,98550.0,53,73.0,245.0,6.0,1.0,47.093788,-123.925662
73,27,1,7.0,,,,,,98223.0,53,69.0,170.0,6.0,1.0,48.21712,-121.95354
74,40,1,7.0,,,,,,99352.0,53,67.0,200.0,6.0,1.0,46.25284,-119.287852
75,53,2,0.0,,,,,,98444.0,53,63.0,155.0,6.0,1.0,47.153041,-122.448831
75,38,1,1.0,,,,,,98445.0,53,66.0,186.0,6.0,1.0,47.139967,-122.409902
76,25,1,0.0,,,,,,98390.0,53,74.0,280.0,6.0,1.0,47.209523,-122.227504
76,71,2,0.0,,,,,,98371.0,53,63.0,260.0,6.0,1.0,47.199448,-122.323541
76,38,2,0.0,,,,,,98371.0,53,64.0,180.0,6.0,1.0,47.199448,-122.323541
77,21,1,7.0,,,,,,98011.0,53,68.0,160.0,6.0,1.0,47.753344,-122.201952
78,63,2,7.0,,,,,,98926.0,53,62.0,85.0,6.0,1.0,47.014195,-120.458691
79,60,1,7.0,,,,,,98816.0,53,69.0,200.0,6.0,1.0,48.0029,-120.33979
79,24,1,0.0,,,,,,98831.0,53,68.0,140.0,6.0,1.0,47.95974,-120.103201
80,26,1,0.0,,,,,,98404.0,53,72.0,200.0,6.0,1.0,47.208981,-122.411638
80,38,1,7.0,,,,,,98375.0,53,75.0,250.0,6.0,1.0,47.103181,-122.333406
80,38,2,0.0,,,,,,98424.0,53,67.0,135.0,6.0,1.0,47.235341,-122.354192
80,58,1,0.0,,,,,,98014.0,53,69.0,160.0,6.0,1.0,47.662086,-121.89187
81,23,1,7.0,,,,,,99123.0,53,74.0,250.0,6.0,1.0,47.845781,-119.144468
82,21,1,6.0,,,,,,98901.0,53,75.0,195.0,6.0,1.0,46.722625,-120.406039
83,25,1,7.0,,,,,,98512.0,53,71.0,165.0,6.0,1.0,46.975003,-123.063616
84,24,1,0.0,,,,,,98311.0,53,68.0,207.0,1.0,1.0,47.631197,-122.631017
85,75,1,7.0,,,,,,98840.0,53,72.0,160.0,6.0,1.0,48.315129,-119.579942
85,77,1,0.0,,,,,,98802.0,53,74.0,265.0,6.0,1.0,47.48609,-120.180328
86,78,2,7.0,,,,,,98043.0,53,58.0,95.0,6.0,1.0,47.791111,-122.30779
