case,crash_dt,crash_tm,numfatal,crashtype
127,04/24/2017,7:50,1,72
127,04/24/2017,7:50,1,73
128,04/21/2017,11:11,1,24
128,04/21/2017,11:11,1,25
129,04/29/2017,12:40,1,64
129,04/29/2017,12:40,1,65
129,04/29/2017,12:40,1,98
130,04/22/2017,20:59,1,13
131,04/26/2017,0:50,1,5
132,04/21/2017,2:59,1,7
133,04/01/2017,10:23,1,78
133,04/01/2017,10:23,1,79
134,05/02/2017,6:04,1,64
134,05/02/2017,6:04,1,65
135,05/05/2017,7:39,1,98
135,05/05/2017,7:39,1,98
136,04/08/2017,7:23,1,6
137,05/05/2017,21:50,1,13
138,05/05/2017,15:29,1,98
138,05/05/2017,15:29,1,98
139,05/05/2017,22:07,1,50
139,05/05/2017,22:07,1,51
141,05/11/2017,11:15,1,20
141,05/11/2017,11:15,1,21
141,05/11/2017,11:15,1,98
141,05/11/2017,11:15,1,98
142,05/06/2017,18:28,1,6
143,05/12/2017,17:22,1,50
143,05/12/2017,17:22,1,51
144,05/14/2017,2:40,1,1
145,05/15/2017,1:10,1,21
145,05/15/2017,1:10,1,20
147,05/04/2017,16:30,1,1
148,05/29/2017,4:50,1,7
149,05/13/2017,22:38,1,13
150,05/17/2017,0:20,1,1
151,06/02/2017,0:00,1,98
152,06/01/2017,3:00,1,98
153,05/15/2017,8:42,1,24
153,05/15/2017,8:42,1,25
153,05/15/2017,8:42,1,98
154,05/15/2017,13:55,1,6
155,05/15/2017,18:59,1,28
155,05/15/2017,18:59,1,29
155,05/15/2017,18:59,1,98
155,05/15/2017,18:59,1,98
156,05/21/2017,12:01,1,98
157,05/14/2017,10:30,3,64
157,05/14/2017,10:30,3,65
157,05/14/2017,10:30,3,98
158,05/22/2017,8:35,1,13
159,05/22/2017,21:00,1,14
160,05/23/2017,16:08,1,24
160,05/23/2017,16:08,1,25
160,05/23/2017,16:08,1,98
161,05/20/2017,3:00,1,13
162,05/24/2017,15:15,1,89
162,05/24/2017,15:15,1,88
163,05/17/2017,23:18,1,50
163,05/17/2017,23:18,1,51
164,05/16/2017,15:03,1,86
164,05/16/2017,15:03,1,87
165,05/31/2017,5:14,1,6
166,01/12/2017,15:20,1,6
167,01/15/2017,4:42,1,13
168,02/11/2017,20:20,1,2
169,02/17/2017,17:19,1,1
170,02/17/2017,18:54,1,20
170,02/17/2017,18:54,1,21
171,03/29/2017,11:30,1,68
171,03/29/2017,11:30,1,69
172,03/13/2017,19:50,1,24
172,03/13/2017,19:50,1,25
173,04/04/2017,12:04,1,11
175,04/14/2017,3:53,1,86
175,04/14/2017,3:53,1,87
176,01/01/2017,18:51,2,0
177,05/21/2017,19:15,1,1
178,05/25/2017,4:36,3,88
178,05/25/2017,4:36,3,89
179,05/27/2017,22:13,1,2
180,05/29/2017,14:57,1,86
180,05/29/2017,14:57,1,87
181,05/29/2017,23:53,1,6
182,05/29/2017,20:20,1,50
182,05/29/2017,20:20,1,51
183,05/17/2017,,1,6
184,05/13/2017,21:30,1,13
185,05/20/2017,13:52,1,6
186,05/31/2017,19:50,1,2
187,05/28/2017,1:10,1,13
188,05/23/2017,23:57,1,13
189,05/16/2017,10:31,1,98
190,05/25/2017,20:40,1,7
191,06/02/2017,4:52,1,98
192,05/22/2017,7:32,1,6
193,06/03/2017,8:59,1,6
194,06/05/2017,16:03,2,50
194,06/05/2017,16:03,2,51
195,06/07/2017,20:40,1,13
196,06/04/2017,13:38,1,6
197,06/10/2017,1:06,1,13
